Year,Month,DON_OPO,CAS_Period,DCD,Total_Donors,Used_Donors,Utilization_Rate,DCU_Rate
2018,10,NYAP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,NYFL,Pre-CAS,0.0,2,0.0,0.0,0.0
2018,10,NYFL,Pre-CAS,1.0,1,0.0,0.0,0.0
2018,10,NYRT,Pre-CAS,0.0,20,2.0,0.1,0.0
2018,10,NYRT,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,NYWN,Pre-CAS,0.0,2,0.0,0.0,0.0
2018,10,NYWN,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,10,OHLB,Pre-CAS,0.0,8,2.0,0.25,0.0
2018,10,OHLB,Pre-CAS,1.0,5,0.0,0.0,0.0
2018,10,OHLC,Pre-CAS,0.0,8,1.0,0.125,0.0
2018,10,OHLP,Pre-CAS,0.0,5,0.0,0.0,0.0
2018,10,OHLP,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,10,OHOV,Pre-CAS,0.0,3,0.0,0.0,0.0
2018,10,OHOV,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,OKOP,Pre-CAS,0.0,8,3.0,0.375,0.0
2018,10,OKOP,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,10,ORUO,Pre-CAS,0.0,4,1.0,0.25,0.0
2018,10,ORUO,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,10,PADV,Pre-CAS,0.0,38,12.0,0.3157894736842105,0.0
2018,10,PADV,Pre-CAS,1.0,12,0.0,0.0,0.0
2018,10,PATF,Pre-CAS,0.0,14,1.0,0.07142857142857142,1.0
2018,10,PATF,Pre-CAS,1.0,2,0.0,0.0,1.0
2018,10,PRLL,Pre-CAS,0.0,9,2.0,0.2222222222222222,0.0
2018,10,SCOP,Pre-CAS,0.0,15,5.0,0.3333333333333333,0.0
2018,10,SCOP,Pre-CAS,1.0,5,0.0,0.0,0.0
2018,10,TNDS,Pre-CAS,0.0,20,5.0,0.25,0.0
2018,10,TNDS,Pre-CAS,1.0,3,0.0,0.0,0.0
2018,10,TNMS,Pre-CAS,0.0,1,0.0,0.0,0.0
2018,10,TXGC,Pre-CAS,0.0,28,9.0,0.32142857142857145,0.0
2018,10,TXGC,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,TXSA,Pre-CAS,0.0,12,3.0,0.25,0.0
2018,10,TXSA,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,TXSB,Pre-CAS,0.0,28,9.0,0.32142857142857145,0.0
2018,10,TXSB,Pre-CAS,1.0,5,0.0,0.0,0.0
2018,10,UTOP,Pre-CAS,0.0,10,1.0,0.1,0.0
2018,10,UTOP,Pre-CAS,1.0,2,0.0,0.0,0.0
2018,10,VATB,Pre-CAS,0.0,10,3.0,0.3,0.0
2018,10,VATB,Pre-CAS,1.0,4,0.0,0.0,0.0
2018,10,WALC,Pre-CAS,0.0,10,4.0,0.4,0.0
