Year,Month,OPO,OPO_Zip,OPO_Lat,OPO_Lon,Center,Center_Zip,Center_Lat,Center_Lon,Count,DCU_Rate
2018,2,CAOP,91702,34.1248,-117.9031,CAUH,90033,34.0487,-118.2084,1,1.0
2018,2,CASD,92108,32.7783,-117.1335,AZSJ,85013,33.5085,-112.0827,5,0.0
2018,2,CASD,92108,32.7783,-117.1335,AZUA,85719,32.2474,-110.9491,1,0.0
2018,2,CASD,92108,32.7783,-117.1335,CAUC,90095,33.7866,-118.2987,1,0.0
2018,2,CORS,80230,39.7218,-104.8951,CASD,92037,32.8455,-117.2521,1,1.0
2018,2,CORS,80230,39.7218,-104.8951,COUC,80045,39.7467,-104.8384,2,1.0
2018,2,DCTC,22042,38.8635,-77.1939,NCDU,27710,36.0512,-78.8577,1,0.0
2018,2,DCTC,22042,38.8635,-77.1939,PATU,19140,40.0118,-75.1456,1,0.0
2018,2,DCTC,22042,38.8635,-77.1939,PAUP,19104,39.9597,-75.2024,2,0.0
2018,2,DCTC,22042,38.8635,-77.1939,VAUV,22908,38.0401,-78.4851,1,0.0
2018,2,FLFH,32751,28.6255,-81.3646,FLJM,33136,25.7864,-80.2042,1,0.0
2018,2,FLFH,32751,28.6255,-81.3646,FLSL,32224,30.3031,-81.4404,1,0.0
2018,2,FLFH,32751,28.6255,-81.3646,FLTG,33606,27.9475,-82.4584,1,0.0
2018,2,FLFH,32751,28.6255,-81.3646,FLUF,32610,29.6813,-82.3539,1,0.0
2018,2,FLFH,32751,28.6255,-81.3646,PAUP,19104,39.9597,-75.2024,1,0.0
2018,2,FLMP,33136,25.7864,-80.2042,FLSL,32224,30.3031,-81.4404,1,0.0
2018,2,FLWC,33619,27.9382,-82.3756,FLSL,32224,30.3031,-81.4404,1,0.0
2018,2,FLWC,33619,27.9382,-82.3756,FLTG,33606,27.9475,-82.4584,2,0.0
2018,2,FLWC,33619,27.9382,-82.3756,FLUF,32610,29.6813,-82.3539,3,0.0
2018,2,FLWC,33619,27.9382,-82.3756,MAPB,02115,42.3427,-71.0922,1,0.0
2018,2,FLWC,33619,27.9382,-82.3756,NCDU,27710,36.0512,-78.8577,1,0.0
2018,2,GALL,30071,33.9381,-84.1972,FLSL,32224,30.3031,-81.4404,1,0.0
2018,2,GALL,30071,33.9381,-84.1972,FLTG,33606,27.9475,-82.4584,1,0.0
2018,2,GALL,30071,33.9381,-84.1972,FLUF,32610,29.6813,-82.3539,1,0.0
2018,2,ILIP,60143,41.972,-88.0202,ILUC,60637,41.7813,-87.6051,1,0.0
2018,2,ILIP,60143,41.972,-88.0202,INIM,46202,39.7851,-86.1595,1,0.0
2018,2,ILIP,60143,41.972,-88.0202,MOBH,63110,38.6185,-90.2564,1,0.0
2018,2,ILIP,60143,41.972,-88.0202,PATU,19140,40.0118,-75.1456,2,0.0
2018,2,INOP,46222,39.789,-86.2136,ILUC,60637,41.7813,-87.6051,1,0.0
2018,2,INOP,46222,39.789,-86.2136,MOBH,63110,38.6185,-90.2564,1,0.0
2018,2,INOP,46222,39.789,-86.2136,OHUH,44106,41.5084,-81.6076,1,0.0
